Tweet,Tweet Length,Date of Creation,Source,Likes,Retweets,Coordinates,Geo,Language
01 ooohk,8,2019-11-11 14:28:25,Twitter Web App,1,0,,,und
01 this is yesterday s work,27,2019-11-11 14:24:19,Twitter Web App,0,0,,,en
Great initiative for learning i take up 100daysofML I will document and open source my projects for the community cynergy ml DeepLearning,137,2019-11-10 06:06:48,Twitter for Android,2,1,,,en
01 just trace back the retweet tree,35,2019-10-03 18:26:24,Twitter Web App,0,0,,,en
We were meant to be joined by blood But we chose to be joined by love Happy rakshabandhan to all the brothers and sisters rakshabandhan Lanco Hoskote,149,2019-08-15 14:48:45,Instagram,2,0,,,en
Brothers Please bring tony back you guys did it in agents of shield you guys brought paul coulson back bring tony back,118,2019-04-28 10:02:13,Twitter for Android,0,0,,,en
It was that day when the stadium was painted red but the chants were for the blues the day when the blues conquered the fort of the reds rcbvsmi mumbai mipaltan mi,163,2019-04-16 07:47:37,Instagram,0,0,,,en
A shadow is a proof that there exists light somewhere CC impulsivelycautious photographers of india indianphotos indianphotography oph coi woi,142,2019-03-27 06:04:29,Instagram,2,0,,,en
Every picture has a story To hear it out watch it through my lens The sky has changed from orange to a hundred shades of pink to dark navy blue and still it is as beautiful as,175,2019-03-21 10:53:51,Instagram,1,0,,,en
The days when you fall in love with being alive PC chetansurana015 and All my best shots of goa shot by them CC pree gandhi,123,2019-03-15 04:59:08,Instagram,0,0,,,en
